Referee,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed
K Friend,8.0,13.0,2.0,1.0,0.0,0.0
A Taylor,6.0,10.0,0.0,2.0,0.0,0.0
M Oliver,11.0,9.0,1.0,1.0,1.0,0.0
A Taylor,11.0,7.0,4.0,1.0,0.0,0.0
L Mason,15.0,6.0,4.0,1.0,0.0,0.0
J Moss,9.0,8.0,2.0,4.0,0.0,0.0
M Atkinson,8.0,12.0,3.0,5.0,0.0,0.0
M Dean,10.0,15.0,0.0,4.0,0.0,0.0
K Friend,14.0,17.0,2.0,4.0,0.0,0.0
M Clattenburg,7.0,13.0,2.0,2.0,0.0,1.0
M Oliver,16.0,11.0,1.0,2.0,0.0,0.0
M Atkinson,8.0,12.0,2.0,3.0,0.0,0.0
J Moss,8.0,13.0,3.0,3.0,0.0,1.0
A Marriner,10.0,11.0,1.0,2.0,0.0,0.0
K Friend,15.0,8.0,4.0,3.0,0.0,0.0
C Pawson,12.0,11.0,2.0,1.0,0.0,1.0
L Mason,6.0,11.0,1.0,2.0,0.0,0.0
M Atkinson,9.0,9.0,1.0,2.0,1.0,0.0
M Clattenburg,15.0,14.0,1.0,3.0,0.0,0.0
A Taylor,18.0,16.0,0.0,4.0,0.0,1.0
K Friend,11.0,14.0,2.0,3.0,0.0,0.0
J Moss,6.0,12.0,0.0,2.0,0.0,0.0
J Moss,14.0,8.0,0.0,0.0,0.0,0.0
L Mason,6.0,16.0,1.0,5.0,0.0,0.0
M Dean,12.0,19.0,2.0,2.0,0.0,1.0
A Marriner,12.0,5.0,2.0,0.0,0.0,0.0
M Clattenburg,8.0,16.0,1.0,3.0,0.0,0.0
J Moss,15.0,13.0,2.0,4.0,0.0,0.0
M Dean,9.0,15.0,2.0,6.0,0.0,0.0
M Atkinson,11.0,10.0,0.0,2.0,0.0,0.0
L Mason,8.0,14.0,0.0,1.0,0.0,0.0
A Taylor,6.0,14.0,1.0,2.0,0.0,0.0
K Friend,10.0,8.0,2.0,1.0,0.0,0.0
M Clattenburg,11.0,14.0,2.0,2.0,0.0,0.0
M Oliver,14.0,7.0,1.0,0.0,0.0,0.0
A Marriner,10.0,10.0,3.0,4.0,0.0,0.0
C Pawson,15.0,12.0,1.0,2.0,0.0,0.0
A Taylor,10.0,9.0,1.0,1.0,0.0,0.0
A Marriner,6.0,9.0,2.0,1.0,0.0,0.0
L Mason,17.0,16.0,1.0,3.0,0.0,0.0
J Moss,10.0,15.0,0.0,4.0,0.0,1.0
M Oliver,7.0,16.0,1.0,2.0,0.0,0.0
M Dean,10.0,11.0,3.0,3.0,0.0,0.0
M Atkinson,11.0,9.0,1.0,2.0,0.0,1.0
M Clattenburg,12.0,10.0,1.0,1.0,0.0,0.0
A Marriner,15.0,14.0,3.0,4.0,0.0,0.0
M Dean,8.0,9.0,2.0,1.0,0.0,0.0
L Mason,14.0,11.0,0.0,1.0,0.0,0.0
M Oliver,14.0,11.0,0.0,2.0,0.0,0.0
M Atkinson,14.0,17.0,2.0,2.0,1.0,0.0
J Moss,11.0,12.0,2.0,1.0,0.0,0.0
A Taylor,7.0,9.0,1.0,0.0,0.0,1.0
J Moss,5.0,22.0,1.0,6.0,0.0,0.0
L Mason,12.0,17.0,0.0,1.0,0.0,0.0
M Clattenburg,12.0,10.0,0.0,3.0,0.0,0.0
A Marriner,11.0,14.0,1.0,5.0,0.0,1.0
M Atkinson,9.0,5.0,2.0,0.0,0.0,0.0
M Dean,14.0,18.0,5.0,2.0,0.0,0.0
M Oliver,11.0,11.0,2.0,1.0,0.0,0.0
C Pawson,8.0,12.0,0.0,4.0,0.0,0.0
M Dean,15.0,7.0,2.0,0.0,0.0,0.0
K Friend,7.0,11.0,2.0,0.0,0.0,0.0
